"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1817";"PV28  ";"2017JJ00";"113.9";"8.3";"8.3";"52198";"12.2";"12.2";"254146";"13266"
"1822";"PV28  ";"2018JJ00";"126";"10.6";"10.6";"45661";"-12.5";"-12.5";"280460";"12806"
"1827";"PV28  ";"2019JJ00";"135.1";"7.2";"7.2";"45018";"-1.4";"-1.4";"305261";"13742"
"1832";"PV28  ";"2020JJ00";"145.9";"8";"8";"47764";"6.1";"6.1";"333763";"15942"
"1888";"PV29  ";"2005JJ00";"102.6";"6.1";"6.1";"5383";"11.5";"11.5";"189534";"1020"
"1893";"PV29  ";"2006JJ00";"108.2";"5.4";"5.4";"5266";"-2.2";"-2.2";"199519";"1051"
"1898";"PV29  ";"2007JJ00";"110.8";"2.4";"2.4";"5133";"-2.5";"-2.5";"203238";"1043"
"1903";"PV29  ";"2008JJ00";"114";"2.9";"2.9";"4610";"-10.2";"-10.2";"206965";"954"
"1908";"PV29  ";"2009JJ00";"112.5";"-1.3";"-1.3";"3259";"-29.3";"-29.3";"196518";"640"
"1913";"PV29  ";"2010JJ00";"110.2";"-2.1";"-2.1";"3254";"-0.2";"-0.2";"197788";"644"
"1918";"PV29  ";"2011JJ00";"109.1";"-1";"-1";"3311";"1.8";"1.8";"197952";"655"
"1923";"PV29  ";"2012JJ00";"103.4";"-5.2";"-5.2";"3392";"2.4";"2.4";"188728";"640"
"1928";"PV29  ";"2013JJ00";"100.6";"-2.7";"-2.7";"3193";"-5.9";"-5.9";"183907";"587"
"1933";"PV29  ";"2014JJ00";"99.6";"-1";"-1";"3998";"25.2";"25.2";"186748";"747"
"1938";"PV29  ";"2015JJ00";"100";"0.4";"0.4";"4267";"6.7";"6.7";"193489";"826"
"1943";"PV29  ";"2016JJ00";"102.4";"2.4";"2.4";"5106";"19.7";"19.7";"202262";"1033"
"1948";"PV29  ";"2017JJ00";"105.3";"2.8";"2.8";"5997";"17.5";"17.5";"213611";"1281"
"1953";"PV29  ";"2018JJ00";"110.7";"5.1";"5.1";"5827";"-2.8";"-2.8";"220889";"1287"
"1958";"PV29  ";"2019JJ00";"119.1";"7.7";"7.7";"5733";"-1.6";"-1.6";"242998";"1393"
"1963";"PV29  ";"2020JJ00";"129";"8.3";"8.3";"6470";"12.9";"12.9";"259014";"1676"
"2019";"PV30  ";"2005JJ00";"110.7";"3.9";"3.9";"29671";"10.4";"10.4";"244063";"7242"
"2024";"PV30  ";"2006JJ00";"115.7";"4.5";"4.5";"30558";"3";"3";"258691";"7905"
"2029";"PV30  ";"2007JJ00";"120.3";"4";"4";"29294";"-4.1";"-4.1";"271394";"7950"
"2034";"PV30  ";"2008JJ00";"123.8";"2.9";"2.9";"26023";"-11.2";"-11.2";"277906";"7232"
"2039";"PV30  ";"2009JJ00";"119.7";"-3.4";"-3.4";"17187";"-34";"-34";"258962";"4451"
"2044";"PV30  ";"2010JJ00";"116.8";"-2.4";"-2.4";"17330";"0.8";"0.8";"254941";"4418"
"2049";"PV30  ";"2011JJ00";"113.1";"-3.2";"-3.2";"16697";"-3.7";"-3.7";"252551";"4217"
"2054";"PV30  ";"2012JJ00";"105";"-7.2";"-7.2";"16583";"-0.7";"-0.7";"240127";"3982"
"2059";"PV30  ";"2013JJ00";"97.4";"-7.3";"-7.3";"15683";"-5.4";"-5.4";"221039";"3467"
"2064";"PV30  ";"2014JJ00";"97.8";"0.4";"0.4";"22286";"42.1";"42.1";"228412";"5090"
"2069";"PV30  ";"2015JJ00";"100";"2.3";"2.3";"25304";"13.5";"13.5";"235669";"5963"
"2074";"PV30  ";"2016JJ00";"103.9";"3.9";"3.9";"30762";"21.6";"21.6";"248763";"7652"
"2079";"PV30  ";"2017JJ00";"110.2";"6.1";"6.1";"36329";"18.1";"18.1";"268514";"9755"
"2084";"PV30  ";"2018JJ00";"118.6";"7.6";"7.6";"33596";"-7.5";"-7.5";"290569";"9762"
"2089";"PV30  ";"2019JJ00";"126.1";"6.4";"6.4";"32488";"-3.3";"-3.3";"310254";"10080"
"2094";"PV30  ";"2020JJ00";"135.7";"7.6";"7.6";"36700";"13";"13";"337960";"12403"
"2150";"PV31  ";"2005JJ00";"113.6";"1.8";"1.8";"12894";"4.3";"4.3";"191026";"2463"
"2155";"PV31  ";"2006JJ00";"117.1";"3.1";"3.1";"12812";"-0.6";"-0.6";"201145";"2577"
"2160";"PV31  ";"2007JJ00";"119.8";"2.3";"2.3";"12451";"-2.8";"-2.8";"206883";"2576"
"2165";"PV31  ";"2008JJ00";"120.4";"0.5";"0.5";"10778";"-13.4";"-13.4";"208894";"2251"
"2170";"PV31  ";"2009JJ00";"114.9";"-4.5";"-4.5";"7916";"-26.6";"-26.6";"197055";"1560"
"2175";"PV31  ";"2010JJ00";"112.3";"-2.3";"-2.3";"7658";"-3.3";"-3.3";"195206";"1495"
"2180";"PV31  ";"2011JJ00";"109.8";"-2.2";"-2.2";"7376";"-3.7";"-3.7";"198167";"1462"
"2185";"PV31  ";"2012JJ00";"103.1";"-6.1";"-6.1";"7558";"2.5";"2.5";"189845";"1435"
"2190";"PV31  ";"2013JJ00";"97";"-5.9";"-5.9";"6962";"-7.9";"-7.9";"179427";"1249"
"2195";"PV31  ";"2014JJ00";"98.1";"1.2";"1.2";"9055";"30.1";"30.1";"186408";"1688"
"2200";"PV31  ";"2015JJ00";"100";"1.9";"1.9";"10168";"12.3";"12.3";"191829";"1951"
"2205";"PV31  ";"2016JJ00";"104.1";"4.1";"4.1";"12361";"21.6";"21.6";"199165";"2462"
"2210";"PV31  ";"2017JJ00";"109.1";"4.8";"4.8";"14675";"18.7";"18.7";"212920";"3125"
"2215";"PV31  ";"2018JJ00";"117.5";"7.7";"7.7";"13505";"-8";"-8";"229286";"3097"
"2220";"PV31  ";"2019JJ00";"125.6";"6.9";"6.9";"13410";"-0.7";"-0.7";"243850";"3270"
"2225";"PV31  ";"2020JJ00";"135.6";"7.9";"7.9";"14837";"10.6";"10.6";"263910";"3916"
